DATE,TITLE,SPEAKER,SERIES,SERVICE,FILES
1/23/22,Jesus Full of Grace,Jeremy Sweets,N/A,Sunday Morning,Jesus_Full_of_Grace.mp3
1/16/22,2022 Broadmoor Theme: Connect,Conrad Harkrider,Connect,Sunday Morning,2022_Broadmoor_Theme_-_Connect.mp3
1/9/22,Streams In the Desert,Mike Roy,N/A,Sunday Morning,Streams_In_the_Desert.mp3
1/2/22,Renewed Commitment,Jeremy Sweets,N/A,Sunday Morning,Renewed_Commitment.mp3
12/26/21,The Cost of Discipleship and Worth of Your Soul,Mike Roy,N/A,Sunday Morning,The_Cost_of_Discipleship_and_Worth_of_Your_Soul.mp3
12/26/21,Follow Me,Conrad Harkrider,N/A,Sunday Evening,Follow_Me.mp3
12/19/21,Better Gifts to Give,David Tant,N/A,Sunday Morning,Better_Gifts_To_Give.mp3
12/19/21,Focus on the Goal,Conrad Harkrider,N/A,Sunday Evening,Focus_On_the_Goal.mp3
12/12/21,Perfect Love,Mike Roy,N/A,Sunday Morning,Perfect_Love.mp3
12/5/21,Holding God's Hand: One We Can Trust,Conrad Harkrider,Holding God's Hand,Sunday Morning,Holding_Gods_Hand_-_One_We_Can_Trust.mp3
11/28/21,Remembering to Say Thanks,Jeremy Sweets,N/A,Sunday Morning,Remembering_to_Say_Thanks.mp3
11/21/21,My Needs Are Met,David Tant,N/A,Sunday Evening,My_Needs_Are_Met_-_David_Tant.mp3
11/14/21,Love Your Neighbor,Conrad Harkrider,N/A,Sunday Morning,Love_Your_Neighbor.mp3
11/7/21,Man of Character,Conrad Harkrider,N/A,Sunday Evening,Man_of_Character_-_Conrad_Harkrider.mp3
11/7/21,Overcoming Evil With Good,Jeremy Sweets,N/A,Sunday Morning,Overcoming_Evil_With_Good_-_Jeremy_Sweets.mp3
10/31/21,Hold to God's Unchanging Hand,Kevin Stinson,Holding God's Hand,Sunday Evening,Hold_to_Gods_Unchanging_Hand_-_Kevin_Stinson.mp3
10/24/21,Modesty of the Heart,Conrad Harkrider,N/A,Sunday Morning,Modesty_of_the_Heart_-_Conrad_Harkrider.mp3
10/24/21,By Reason of Time,David Tant,N/A,Sunday Evening,By_Reason_of_Time_-_David_Tant.mp3
10/17/21,By Two Unchangable Things,Jeremy Sweets,N/A,Sunday Morning,By_Two_Unchangeable_Things_-_Jeremy_Sweets.mp3
